level_0,Symbols,Close,High,Low,Open,Volume
2020-03-13,BNTX,30.6362,31.6762,28.9127,29.715,199544.48104721
2020-03-13,MRNA,21.3,23.47,19.31,23.0,11853052.0
2020-03-16,AMZN,84.4575,87.9726,81.3016,82.0755,178345300.0
2020-03-16,BNTX,39.62,52.2985,37.639,48.8911,1954508.959175
2020-03-16,MRNA,26.49,27.8,22.22,23.76,39850785.0
2020-03-17,AMZN,90.392,92.8888,84.462,88.7735,218342580.0
2020-03-17,BNTX,65.9674,75.2781,55.478,64.3826,2967999.1431754
2020-03-17,MRNA,28.18,32.7,27.3148,29.36,44484144.0
2020-03-18,AMZN,91.5,92.083,87.25,87.5,192904360.0
2020-03-18,BNTX,91.1261,104.003,81.4277,89.5314,3056028.336017
2020-03-18,MRNA,31.58,32.54,26.55,27.13,28702290.0
2020-03-19,AMZN,94.0465,97.25,91.6325,93.0,207998860.0
2020-03-19,BNTX,58.7367,82.5374,58.4396,82.4097,1613854.0646373
2020-03-19,MRNA,28.27,34.98,25.19,32.78,36952753.0
2020-03-20,AMZN,92.3045,97.85,91.0365,96.3155,196357000.0
2020-03-20,BNTX,46.0583,54.4776,43.2453,54.428,1185225.5047157
2020-03-20,MRNA,28.2,30.23,26.2,29.25,16522449.0
2020-03-23,AMZN,95.1415,95.97,90.6,91.3875,156169780.0
2020-03-23,BNTX,50.8226,59.4102,49.8321,58.4396,1003734.5145037
2020-03-23,MRNA,26.57,29.81,26.25,28.71,11080845.0
2020-03-24,AMZN,97.005,97.75,95.017,97.5748,142941600.0
2020-03-24,BNTX,53.1305,58.4297,47.5639,58.3405,585292.71906734
2020-03-24,MRNA,25.82,27.25,24.36,27.09,12550494.0
2020-03-25,AMZN,94.292,97.513,94.289,96.0345,129581460.0
2020-03-25,BNTX,46.7516,53.175,46.7516,53.1206,336570.09284211
2020-03-25,MRNA,27.13,27.98,24.79,25.0,9651543.0
2020-03-26,AMZN,97.7745,97.8245,94.4645,95.1,124702360.0
2020-03-26,BNTX,54.4776,55.2204,49.525,51.506,477073.74266002
2020-03-26,MRNA,27.94,28.79,27.56,27.56,5585886.0
2020-03-27,AMZN,95.005,96.9895,94.996,96.543,107757940.0
2020-03-27,BNTX,54.4776,54.8738,50.8325,54.3092,248636.81106356
2020-03-27,MRNA,30.05,31.09,27.95,28.37,12408297.0
2020-03-30,AMZN,98.1975,98.6815,95.617,96.1415,122521740.0
2020-03-30,BNTX,61.4111,63.8378,58.4792,59.4301,596884.83302382
2020-03-30,MRNA,30.48,31.69,28.27,30.59,10749923.0
2020-03-31,AMZN,97.486,99.651,97.2005,98.2175,102472520.0
2020-03-31,BNTX,57.8453,61.4111,56.4586,59.2914,245722.12433717
2020-03-31,MRNA,29.95,30.98,29.2,30.6,6027880.0
2020-04-01,AMZN,95.385,97.248,94.65,96.6485,82437500.0
